TimeCreated,Id,LevelDisplayName,Message,Source,TaskCategory,Username
1681731481,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI86597$
	Account Domain:		JUBILIFE
	Logon ID:		0x6D756D

Logon Type:			2

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1482
	Account Name:		FLORENCE_EDWARDS
	Account Domain:		NT AUTHORITY
	Logon ID:		0x6D756D
	Logon GUID:		B285EDFA-437D-45B6-B17A-4FA26E97410B

Process Information:
	Process ID:		0x56
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",C:\Windows\System32\svchost.exe,12544,FLORENCE_EDWARDS
1681732547,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI56703$
	Account Domain:		JUBILIFE
	Logon ID:		0x646F65

Logon Type:			11

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1473
	Account Name:		CLAUDINE_CHANDLER
	Account Domain:		NT AUTHORITY
	Logon ID:		0x646F65
	Logon GUID:		D79EB182-A7E4-4AF3-9D53-08DBDB3E9066

Process Information:
	Process ID:		0x28
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",C:\Windows\System32\svchost.exe,12544,CLAUDINE_CHANDLER
1681733381,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI76852$
	Account Domain:		JUBILIFE
	Logon ID:		0x6E6970

Logon Type:			3

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1343
	Account Name:		REUBEN_WARNER
	Account Domain:		NT AUTHORITY
	Logon ID:		0x6E6970
	Logon GUID:		389C1D3E-74F9-4797-988F-7CEE50C4C137

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,REUBEN_WARNER
1681733568,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI78700$
	Account Domain:		JUBILIFE
	Logon ID:		0x6F7574

Logon Type:			11

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1409
	Account Name:		MANUELA_VINCENT
	Account Domain:		NT AUTHORITY
	Logon ID:		0x6F7574
	Logon GUID:		44199710-524E-4EE4-8147-D386346A7980

Process Information:
	Process ID:		0x4e
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	172.19.9.82
	Source Port:		29079

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,MANUELA_VINCENT
1681734637,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI39597$
	Account Domain:		JUBILIFE
	Logon ID:		0x736974

Logon Type:			11

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1357
	Account Name:		KATHERINE_MONTGOMERY
	Account Domain:		NT AUTHORITY
	Logon ID:		0x736974
	Logon GUID:		BD2BDB52-8C05-4FCD-AA23-027D400858CF

Process Information:
	Process ID:		0x28
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	172.19.9.43
	Source Port:		45563

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,KATHERINE_MONTGOMERY
1681734792,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI34506$
	Account Domain:		JUBILIFE
	Logon ID:		0x696C6C

Logon Type:			3

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1112
	Account Name:		CARMEN_PETERS
	Account Domain:		NT AUTHORITY
	Logon ID:		0x696C6C
	Logon GUID:		95ED5F90-EA74-49DC-9885-69A8D93E0432

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	172.19.10.42
	Source Port:		4843

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,CARMEN_PETERS
1681734886,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI09977$
	Account Domain:		JUBILIFE
	Logon ID:		0x736879

Logon Type:			3

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1294
	Account Name:		HARRISON_JUSTICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x736879
	Logon GUID:		4A5D7016-2917-47AF-AAEE-5634E0FA98FB

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	172.19.7.234
	Source Port:		30226

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,HARRISON_JUSTICE
1681735953,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI24584$
	Account Domain:		JUBILIFE
	Logon ID:		0x6C6177

Logon Type:			11

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1127
	Account Name:		SANFORD_FOREMAN
	Account Domain:		NT AUTHORITY
	Logon ID:		0x6C6177
	Logon GUID:		D7F0EA02-9B62-41BF-BB3A-C6706231A43B

Process Information:
	Process ID:		0x56
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,SANFORD_FOREMAN
1681736138,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI47990$
	Account Domain:		JUBILIFE
	Logon ID:		0x706567

Logon Type:			3

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1434
	Account Name:		NESTOR_BENNETT
	Account Domain:		NT AUTHORITY
	Logon ID:		0x706567
	Logon GUID:		37C718EB-520C-4BCF-B099-D0E178C00780

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	172.19.2.48
	Source Port:		25374

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",-,12544,NESTOR_BENNETT
1681736545,4624,Information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		JUBI46141$
	Account Domain:		JUBILIFE
	Logon ID:		0x776F6F

Logon Type:			2

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4223521121-1109782943-2127437603-1184
	Account Name:		PRISCILLA_DILLON
	Account Domain:		NT AUTHORITY
	Logon ID:		0x776F6F
	Logon GUID:		52990D48-B458-49D8-B05B-E992B85FC9BC

Process Information:
	Process ID:		0x1c
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Kerberos  
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",C:\Windows\System32\svchost.exe,12544,PRISCILLA_DILLON
